,Week,Date,Home Team,Away Team,Home Score,Away Score,Opening_Home_Win,Close_Home_Win,Opening_Draw,Closing_Draw,Opening_Away_Win,Closing_Away_Win,Opening Spread,Home Line Close,Home_Total_Points,Away_Total_Points,Opening_Total,Closing_Total,Home Draw No Bet,Closing_Home Draw No Bet,Away Draw No Bet,Closing_Away Draw No Bet,Date_Odds,Date_Odds.1,MOTM,penalties_conceded,clean_breaks,sin_bin,Turnover,Unnamed: 29
0,-3,2023-02-04,Wexford,Galway,18.0,23.0,2.5,2.5,9.0,9.5,1.67,1.5,2.0,1.5,21.5,24.5,46.5,46.5,2.25,2.5,1.57,1.5,2023-01-30,2023-02-04,Conor Whelan,,,,,
1,-3,2023-02-04,Cork,Limerick,23.0,22.0,2.25,2.2,9.0,8.5,1.8,1.61,1.0,0.5,24.5,25.5,49.5,49.5,2.1,2.2,1.67,1.61,2023-01-30,2023-02-04,Patrick Horgan,,,,,
2,-3,2023-02-05,Clare,Westmeath,39.0,14.0,1.02,1.02,34.0,34.0,11.0,13.0,-13.0,-13.0,,,,,1.02,1.015,10.0,13.0,2023-01-30,2023-02-04,,,,,,
3,-3,2023-02-04,Antrim,Kilkenny,15.0,21.0,7.5,7.0,15.0,17.0,1.1,1.071,8.0,8.5,20.5,27.5,48.5,48.5,7.0,7.0,1.08,1.071,2023-01-30,2023-02-04,Billy Drennan,,,,,
4,-3,2023-02-04,Tipp,Laois,38.0,18.0,1.02,1.025,34.0,21.0,11.0,9.5,-13.0,-12.5,32.5,19.5,50.5,50.5,1.02,1.025,10.0,9.5,2023-01-30,2023-02-04,,,,,,
5,-3,2023-02-05,Waterford,Dublin,25.0,25.0,1.33,1.25,11.0,11.0,3.75,3.8,-4.0,-4.5,26.5,21.5,47.5,47.5,1.25,1.25,3.5,3.8,2023-01-30,2023-02-04,,,,,,
6,-2,2023-02-11,Limerick,Clare,30.0,24.0,1.53,1.5,9.0,10.0,2.88,3.0,-1.5,-2.5,24.5,21.5,46.5,46.5,1.44,1.4,2.63,2.75,2023-02-07,,Michael Houlihane ,,,,,(went to frees after David Reidy) went off injured
7,-2,2023-02-12,Westmeath,Wexford,18.0,29.0,8.5,8.0,17.0,21.0,1.07,1.062,8.5,8.5,,,,,8.0,7.5,1.05,1.056,,,,,,,,
8,-2,2023-02-12,Galway,Cork,31.0,36.0,1.83,1.72,9.0,9.5,2.2,2.3,-0.5,-1.0,24.5,23.5,47.5,47.5,1.67,1.61,2.1,2.2,,2023-02-12,,,,,,
9,-2,2023-02-11,Laois,Waterford,25.0,30.0,11.0,15.0,34.0,34.0,1.02,1.02,12.5,13.5,18.5,32.5,51.5,51.5,10.0,13.0,1.02,1.01,,2023-02-12,,,,,,
