,Week,Date,Player,Team,Opponent,Cup,Position,Started_Sub,Minutes,Pts_Play,Frees/Sideline,Goals_Play
0,1.0,2023-02-04,Aidan Tallis,Kilkenny,Antrim,League,G,Started,70,1.0,,
1,1.0,2023-02-04,Mikey Butler,Kilkenny,Antrim,League,FB,Started,70,,,
2,1.0,2023-02-04,Huw Lawlor,Kilkenny,Antrim,League,FB,Started,70,,,
3,1.0,2023-02-04,Niall Rowe,Kilkenny,Antrim,League,FB,Started,70,,,
4,1.0,2023-02-04,Cillian Buckley,Kilkenny,Antrim,League,HB,Started,70,,,
5,1.0,2023-02-04,Padraig Walsh,Kilkenny,Antrim,League,HB,Started,70,,,
6,1.0,2023-02-04,David Blanchfield,Kilkenny,Antrim,League,HB,Started,70,,,
7,1.0,2023-02-04,Paddy Deegan,Kilkenny,Antrim,League,M,Started,70,1.0,,
8,1.0,2023-02-04,John Donnelly,Kilkenny,Antrim,League,M,Started,69,1.0,,
9,1.0,2023-02-04,Walter Walsh,Kilkenny,Antrim,League,HF,Started,68,1.0,,
10,1.0,2023-02-04,Cian Kenny,Kilkenny,Antrim,League,HF,Started,63,,,
11,1.0,2023-02-04,Paul Cody,Kilkenny,Antrim,League,HF,Started,35,2.0,,
12,1.0,2023-02-04,Billy Drennan,Kilkenny,Antrim,League,FF,Started,70,1.0,7.0,1.0
13,1.0,2023-02-04,Martin Keoghan,Kilkenny,Antrim,League,FF,Started,70,3.0,,
14,1.0,2023-02-04,Billy Ryan,Kilkenny,Antrim,League,FF,Started,70,1.0,,
15,1.0,2023-02-04,Shane Murphy,Kilkenny,Antrim,League,HF,Sub,35,,,
16,1.0,2023-02-04,Tom Phelan,Kilkenny,Antrim,League,HF,Sub,7,,,
17,1.0,2023-02-04,Alan Murphy,Kilkenny,Antrim,League,HF,Sub,2,,,
18,1.0,2023-02-04,Gearoid Dunne,Kilkenny,Antrim,League,M,Sub,1,,,
19,1.0,2023-02-04,Barry Hogan,Tipp,Laois,League,G,Started,70,,,
20,1.0,2023-02-04,Cathal Barrett,Tipp,Laois,League,FB,Started,70,1.0,,
21,1.0,2023-02-04,Michael Breen,Tipp,Laois,League,FB,Started,70,,,
22,1.0,2023-02-04,Johnny Ryan,Tipp,Laois,League,FB,Started,70,,,
23,1.0,2023-02-04,Bryan O Mara,Tipp,Laois,League,HB,Started,70,,,
24,1.0,2023-02-04,Ronan Maher,Tipp,Laois,League,HB,Started,70,2.0,1.0,
25,1.0,2023-02-04,Brian McGrath,Tipp,Laois,League,HB,Started,70,1.0,,
26,1.0,2023-02-04,Noel McGrath,Tipp,Laois,League,M,Started,60,1.0,,
27,1.0,2023-02-04,Conor Stakelum,Tipp,Laois,League,M,Started,37,3.0,,
28,1.0,2023-02-04,Seaumus Kennedy,Tipp,Laois,League,HF,Started,70,,,1.0
29,1.0,2023-02-04,Gearoid O Connor,Tipp,Laois,League,HF,Started,70,3.0,8.0,
30,1.0,2023-02-04,Cian O Dwyer,Tipp,Laois,League,HF,Started,51,2.0,,
31,1.0,2023-02-04,John McGrath,Tipp,Laois,League,FF,Started,62,2.0,,
32,1.0,2023-02-04,Patrick Maher,Tipp,Laois,League,FF,Started,51,,,
33,1.0,2023-02-04,Sean Ryan,Tipp,Laois,League,FF,Started,70,3.0,,
34,1.0,2023-02-04,John Campion,Tipp,Laois,League,M,Sub,33,1.0,,
35,1.0,2023-02-04,Jake Morris,Tipp,Laois,League,HF,Sub,29,2.0,,1.0
36,1.0,2023-02-04,Mark Kehoe,Tipp,Laois,League,HF,Sub,29,1.0,,
37,1.0,2023-02-04,Paddy Cadell,Tipp,Laois,League,M,Sub,20,,,
38,1.0,2023-02-04,Conor Bowe,Tipp,Laois,League,FF,Sub,18,1.0,,
39,1.0,2023-02-04,Mark Fanning,Wexford,Galway,League,G,Started,70,,,
40,1.0,2023-02-04,Shane Reck,Wexford,Galway,League,FB,Started,70,,,
41,1.0,2023-02-04,Liam Ryan,Wexford,Galway,League,FB,Started,70,1.0,,
42,1.0,2023-02-04,Conor Devitt,Wexford,Galway,League,FB,Started,70,,,
43,1.0,2023-02-04,Conor Foley,Wexford,Galway,League,HB,Started,70,,,
44,1.0,2023-02-04,Damien Reck,Wexford,Galway,League,HB,Started,66,1.0,1.0,
45,1.0,2023-02-04,Simon Donohue,Wexford,Galway,League,HB,Started,70,1.0,,
46,1.0,2023-02-04,Diarmuid O Keefe,Wexford,Galway,League,M,Started,70,,,
47,1.0,2023-02-04,Kevin Foley,Wexford,Galway,League,M,Started,54,1.0,,
48,1.0,2023-02-04,Conor Hearne,Wexford,Galway,League,HF,Started,61,,,
49,1.0,2023-02-04,Liam Og McGovern,Wexford,Galway,League,HF,Started,50,,,
50,1.0,2023-02-04,Charlie McGuckin,Wexford,Galway,League,HF,Started,70,3.0,,
51,1.0,2023-02-04,Cathal Dunbar,Wexford,Galway,League,FF,Started,70,2.0,,
52,1.0,2023-02-04,Conor McDonald,Wexford,Galway,League,FF,Started,70,1.0,3.0,
53,1.0,2023-02-04,Mikie Dwyer,Wexford,Galway,League,FF,Started,54,1.0,,
54,1.0,2023-02-04,Corey Byrne Dunbar,Wexford,Galway,League,HF,Sub,20,,,
55,1.0,2023-02-04,Jack Doran,Wexford,Galway,League,M,Sub,16,,,
56,1.0,2023-02-04,Rory Higgins,Wexford,Galway,League,FF,Sub,16,,,
57,1.0,2023-02-04,Connal Flood,Wexford,Galway,League,HF,Sub,9,,,
58,1.0,2023-02-04,David Clarke,Wexford,Galway,League,HB,Sub,4,,,
59,1.0,2023-02-04,Eanna Murphy,Galway,Wexford,League,G,Started,70,,,
